start,end,labelName
2020-08-05 15:30:00,2020-08-05 16:00:00,Cook
2020-08-05 16:00:00,2020-08-05 16:30:00,Take medicine
2020-08-12 00:00:00,2020-08-12 15:30:00,Sleep
2020-08-12 15:00:00,2020-08-12 16:00:00,Eat
2020-08-13 00:00:00,2020-08-13 09:30:00,Sleep
2020-08-13 09:30:00,2020-08-13 10:30:00,Wake up
2020-08-13 17:00:00,2020-08-13 18:30:00,Go to bathroom
2020-08-13 18:30:00,2020-08-13 19:30:00,Cook
2020-08-14 00:00:00,2020-08-14 09:30:00,Sleep
2020-08-14 11:00:00,2020-08-14 12:00:00,Wash dishes
2020-08-14 15:00:00,2020-08-14 15:30:00,Eat
2020-08-19 22:00:00,2020-08-19 23:30:00,Clean
2020-08-19 22:30:00,2020-08-19 23:00:00,Wash dishes
2020-09-03 19:00:00,2020-09-03 19:30:00,Go to bathroom
2020-09-05 00:00:00,2020-09-05 12:00:00,Sleep
2020-09-05 12:00:00,2020-09-05 15:30:00,Go to bathroom
2020-09-05 16:00:00,2020-09-05 16:30:00,Eat
2020-09-05 16:00:00,2020-09-05 18:00:00,Wash dishes
2020-09-07 00:00:00,2020-09-07 06:00:00,Sleep
2020-09-07 08:00:00,2020-09-07 08:30:00,Go to bathroom
2020-09-10 00:00:00,2020-09-10 15:30:00,Sleep
2020-09-15 00:00:00,2020-09-15 15:00:00,Sleep
2020-09-15 15:00:00,2020-09-15 15:30:00,Clean
2020-09-21 00:00:00,2020-09-21 08:30:00,Sleep
2020-09-22 00:00:00,2020-09-22 10:30:00,Sleep
2020-09-23 00:00:00,2020-09-23 09:00:00,Sleep
2020-09-23 08:30:00,2020-09-23 10:00:00,Wake up
2020-09-24 00:00:00,2020-09-24 07:30:00,Sleep
2020-09-24 08:00:00,2020-09-24 08:30:00,Go to bathroom
2020-09-24 10:30:00,2020-09-24 11:00:00,Go to bathroom
2020-09-24 13:30:00,2020-09-24 14:00:00,Go to bathroom
2020-09-24 14:30:00,2020-09-24 15:00:00,Go to bathroom
2020-09-26 00:00:00,2020-09-26 05:30:00,Sleep
2020-09-26 07:00:00,2020-09-26 07:30:00,Cook
2020-09-26 07:30:00,2020-09-26 08:30:00,Wash dishes
2020-09-26 09:30:00,2020-09-26 10:00:00,Go to bathroom
2020-09-26 13:30:00,2020-09-26 15:00:00,Clean
2020-09-27 00:00:00,2020-09-27 09:00:00,Sleep
2020-09-27 14:30:00,2020-09-27 15:30:00,Wash dishes
2020-09-27 17:00:00,2020-09-27 18:00:00,Go to bathroom
2020-09-28 00:00:00,2020-09-28 07:00:00,Sleep
