start,end,labelName
2020-08-02 16:30:00,2020-08-02 17:00:00,Eat
2020-08-07 14:30:00,2020-08-07 15:00:00,Wake up
2020-08-07 15:00:00,2020-08-07 15:30:00,Take medicine
2020-08-07 15:30:00,2020-08-07 16:00:00,Go to bathroom
2020-08-07 16:30:00,2020-08-07 17:00:00,Go to bathroom
2020-08-07 18:00:00,2020-08-07 18:30:00,Drink
2020-08-07 19:00:00,2020-08-07 19:30:00,Take medicine
2020-08-07 19:30:00,2020-08-07 20:00:00,Go walk
2020-08-08 00:00:00,2020-08-08 00:30:00,Wake up
2020-08-08 03:30:00,2020-08-08 04:00:00,Go to bathroom
2020-08-08 08:30:00,2020-08-08 09:00:00,Eat
2020-08-08 10:30:00,2020-08-08 11:00:00,Wash dishes
2020-08-08 11:30:00,2020-08-08 12:00:00,Drink
2020-08-08 13:30:00,2020-08-08 14:00:00,Drink
2020-08-08 14:30:00,2020-08-08 15:00:00,Eat
2020-08-08 15:00:00,2020-08-08 15:30:00,Sleep
2020-08-14 15:30:00,2020-08-14 16:00:00,Wake up
2020-08-14 16:00:00,2020-08-14 16:30:00,Eat
2020-08-14 16:30:00,2020-08-14 17:00:00,Drink
2020-08-14 17:30:00,2020-08-14 18:00:00,Go walk
2020-08-14 19:30:00,2020-08-14 20:00:00,Eat
2020-08-14 20:00:00,2020-08-14 20:30:00,Go walk
2020-08-14 23:30:00,2020-08-15 00:00:00,Sleep
2020-08-15 00:30:00,2020-08-15 01:00:00,Wake up
2020-08-15 01:00:00,2020-08-15 01:30:00,Go walk
2020-08-15 09:00:00,2020-08-15 09:30:00,Drink
2020-08-15 10:00:00,2020-08-15 10:30:00,Go to bathroom
2020-08-15 11:00:00,2020-08-15 11:30:00,Eat
2020-08-15 11:30:00,2020-08-15 12:00:00,Go to bathroom
2020-08-15 13:30:00,2020-08-15 14:00:00,Sleep
2020-08-19 10:00:00,2020-08-19 10:30:00,Go to bathroom
2020-08-25 20:30:00,2020-08-25 21:00:00,Go walk
2020-08-25 21:00:00,2020-08-25 21:30:00,Go to bathroom
2020-08-25 21:30:00,2020-08-25 22:00:00,Sleep
2020-08-26 11:00:00,2020-08-26 11:30:00,Go walk
2020-09-18 12:00:00,2020-09-18 12:30:00,Drink
2020-09-18 12:30:00,2020-09-18 13:00:00,Eat
2020-09-18 13:00:00,2020-09-18 13:30:00,Wash dishes
2020-09-18 13:30:00,2020-09-18 14:00:00,Go to bathroom
2020-09-21 21:00:00,2020-09-21 21:30:00,Go to bathroom
2020-09-22 14:00:00,2020-09-22 14:30:00,Go walk
2020-09-22 14:30:00,2020-09-22 15:00:00,Go to bathroom
2020-12-22 11:30:00,2020-12-22 12:00:00,Go to bathroom
